code,description,approach
80030003,Inventory - Beg Bal MS - Oil & Lubricants Balances,main
80030004,Inventory - Beg Bal MS - Spare Parts Balances,main
80030005,Inventory - Beg Bal MS - Tires Balances,main
80030006,Inventory - Beg Bal MS - Tire Accessories Balances,main
80030007,Inventory - Beg Bal MS - Conveyor Supp Balances,main
80030008,Inventory - Beg Bal MS - Tools and Other Supplies,main
80030009,Inventory - Beg Bal FG - Saprolite Balances,main
80030010,Inventory - Beg Bal FG - Limonite Balances,main
80030011,Inventory - Beg Bal FG - Limestone Balances,main
80030012,Inventory - Beg Bal FG - Quarry Materials Balances,main
80040000,General Ledger Migration Account,main
80050000,GL - CO Migration Account,main
92110000,Settlement_PM Preventive_Personnel,oh
92110100,Settlement_PM Preventive_Spare Parts,oh
92110200,Settlement_PM Preventive_Tires,oh
92110300,Settlement_PM Preventive_Outside Srv,oh
92110400,Settlement_PM Preventive_Others,oh
92110500,Settlement_PM Preventive_Oil&Lubricants,oh
92110600,Settlement_PM Preventive_External Labor,oh
92120000,Settlement_PM Corrective_Personnel,oh
92120100,Settlement_PM Corrective_Spare Parts,oh
92120200,Settlement_PM Corrective_Tires,oh
92120300,Settlement_PM Corrective_Outside Srv,oh
92120400,Settlement_PM Corrective_Others,oh
92120500,Settlement_PM Corrective_Oil&Lubricants,oh
92120600,Settlement_PM Corrective_External Labor,oh
92130000,Settlement_PM Emergency_Personnel,oh
92130100,Settlement_PM Emergency_Spare Parts,oh
92130200,Settlement_PM Emergency_Tires,oh
92130300,Settlement_PM Emergency_Outside Srv,oh
92130400,Settlement_PM Emergency_Others,oh
92130500,Settlement_PM Emergency_Oil&Lubricants,oh
92130600,Settlement_PM Emergency_External Labor,oh
92140000,Settlement_Project System_Personnel,oh
92140100,Settlement_Project System_Spare Parts,oh
92140200,Settlement_Project System_Tires,oh
92140300,Settlement_Project System_Outside Srv,oh
92140400,Settlement_Project System_Others,oh
92140500,Settlement_Project System_Oil&Lubricants,oh
92140600,Settlement_Project System_External Labor,oh
94110000,Overhead_Plant Maintenance_Personnel,oh
94110100,Overhead_Plant Maintenance_Spare Parts,oh
94110200,Overhead_Plant Maintenance_Tires,oh
94110300,Overhead_Plant Maintenance_Outside Srv,oh
94110400,Overhead_Plant Maintenance_Others,oh
94110500,Overhead_Plant Maintenance_Oil&Lubricant,oh
94110600,Overhead_Plant Maintenance_ExternalLabor,oh
94111000,Overhead _Production Overhead_Personnel,oh
94111100,Overhead _Production Overhead_Overhead,oh
94111200,Overhead _Production Overhead_Depre&Amor,oh
